GID_1,NAME_1,year,iso,gdp_county,pop_county,grid_rows,gdppc_county,ln_gdppc_county
KEN.1_1,Baringo,2012,KEN,4.943228211593941,1152749.0,5.0,4288.208631362023,8.363624356269
KEN.1_1,Baringo,2013,KEN,5.4164154810196985,1181639.0,5.0,4583.815768622818,8.430287067495923
KEN.1_1,Baringo,2014,KEN,5.714862286778549,1202590.0,5.0,4752.128561503545,8.46634791486498
KEN.1_1,Baringo,2015,KEN,5.912954765748713,1212536.0,5.0,4876.51893696246,8.492186911714786
KEN.1_1,Baringo,2016,KEN,6.1494027559872615,1227263.0,5.0,5010.664181994619,8.519323756548529
KEN.1_1,Baringo,2017,KEN,5.386219617303903,1176044.0,5.0,4579.9473636223665,8.429442784383317
KEN.1_1,Baringo,2018,KEN,5.9628267984447625,1201155.0,5.0,4964.244246949613,8.510016348770286
KEN.1_1,Baringo,2019,KEN,6.20728301825668,1219903.0,5.0,5088.341465064584,8.534707214612514
KEN.1_1,Baringo,2020,KEN,6.233133292948667,1291368.0,5.0,4826.7676548812315,8.481932300025345
KEN.1_1,Baringo,2021,KEN,6.845650427364594,1317169.0,5.0,5197.245324908645,8.555884018995075
KEN.2_1,Bomet,2012,KEN,4.22640607565878,1056867.0,1.0,3998.9952147798917,8.293798412241925
KEN.2_1,Bomet,2013,KEN,4.44194197910457,1083053.0,1.0,4101.315428796715,8.319063037527323
KEN.2_1,Bomet,2014,KEN,4.71509054975097,1103267.0,1.0,4273.752908181764,8.360247621428686
KEN.2_1,Bomet,2015,KEN,4.88574750685953,1119408.0,1.0,4364.58155280249,8.381277599486568
KEN.2_1,Bomet,2016,KEN,5.12892007045686,1139057.0,1.0,4502.777359216317,8.412449676311375
KEN.2_1,Bomet,2017,KEN,5.23123942499125,1208022.0,1.0,4330.417347524507,8.373419201461376
KEN.2_1,Bomet,2018,KEN,6.25837198127169,1250930.0,1.0,5002.975371341075,8.51778808869797
KEN.2_1,Bomet,2019,KEN,6.31234652499788,1250111.0,1.0,5049.428830718136,8.527030413044706
KEN.2_1,Bomet,2020,KEN,6.20629701734703,1301014.0,1.0,4770.353752801299,8.470175743145372
KEN.2_1,Bomet,2021,KEN,6.62121559699097,1329666.0,1.0,4979.608109849368,8.513106474120926
KEN.3_1,Bungoma,2012,KEN,3.5883966416293545,1417697.0,2.0,2531.1449778262595,7.836427039752627
KEN.3_1,Bungoma,2013,KEN,3.786366725045713,1453054.0,2.0,2605.7990446643503,7.865494642149818
KEN.3_1,Bungoma,2014,KEN,3.8936438048480357,1487122.0,2.0,2618.24100836921,7.870258000433364
KEN.3_1,Bungoma,2015,KEN,4.188369987420969,1522747.0,2.0,2750.535701216925,7.919550972131993
KEN.3_1,Bungoma,2016,KEN,4.592930640369071,1563346.0,2.0,2937.8849214243496,7.985445186948436
KEN.3_1,Bungoma,2017,KEN,4.495158342820975,1539103.0,2.0,2920.6351640020034,7.97955639352636
KEN.3_1,Bungoma,2018,KEN,4.993841387522368,1588562.0,2.0,3143.6238481862006,8.053131505229372
KEN.3_1,Bungoma,2019,KEN,5.424479373901528,1397854.0,2.0,3880.576493612014,8.26373900240812
KEN.3_1,Bungoma,2020,KEN,5.5351812821611555,1436821.0,2.0,3852.380555518854,8.256446562305799
KEN.3_1,Bungoma,2021,KEN,5.983036247251532,1464981.0,2.0,4084.0367535493856,8.31484117864401
KEN.4_1,Busia,2012,KEN,1.3784020936993053,573511.0,2.0,2403.444909861023,7.784658366272921
KEN.4_1,Busia,2013,KEN,1.428109479657022,587817.0,2.0,2429.513742639328,7.795446410400993
KEN.4_1,Busia,2014,KEN,1.4798461088986459,596753.0,2.0,2479.8301959079317,7.815945367422929
KEN.4_1,Busia,2015,KEN,1.5342823633525817,605111.0,2.0,2535.538708356949,7.838161401676202
KEN.4_1,Busia,2016,KEN,1.6654477520661075,614541.0,2.0,2710.067761249628,7.904728917712302
KEN.4_1,Busia,2017,KEN,1.9472452849074582,596662.0,2.0,3263.56510873402,8.090575468461223
KEN.4_1,Busia,2018,KEN,2.349531528814201,603817.0,2.0,3891.131797902678,8.266455344912224
KEN.4_1,Busia,2019,KEN,2.488615021102984,582934.0,2.0,4269.119696402996,8.359162924875783
KEN.4_1,Busia,2020,KEN,2.643087641282325,599465.0,2.0,4409.07749623802,8.391420762032231
KEN.4_1,Busia,2021,KEN,2.819738664373241,611057.0,2.0,4614.526409767404,8.436964521902475
KEN.5_1,Elgeyo-Marakwet,2012,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2013,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2014,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2015,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2016,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2017,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2018,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2019,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2020,KEN,,,,,
KEN.5_1,Elgeyo-Marakwet,2021,KEN,,,,,
KEN.6_1,Embu,2012,KEN,1.25980358012985,312121.0,1.0,4036.266640597236,8.303075444850542
KEN.6_1,Embu,2013,KEN,1.28861890752393,319882.0,1.0,4028.4195657271434,8.301129410709654
KEN.6_1,Embu,2014,KEN,1.35521323566561,328153.0,1.0,4129.821259185836,8.325989406371033
KEN.6_1,Embu,2015,KEN,1.38123351340429,334618.0,1.0,4127.792029730289,8.32549792549747
KEN.6_1,Embu,2016,KEN,1.40232708480255,342971.0,1.0,4088.762854009669,8.315997722598107
KEN.6_1,Embu,2017,KEN,1.12325718212911,290297.0,1.0,3869.3378923278915,8.26083868413296
