iso,fid_2,cell_id,subcell_id,year,predicted_GCP_const_2017_USD,predicted_GCP_current_USD,predicted_GCP_const_2017_PPP,predicted_GCP_current_PPP,pop_cell,cell_GDPC_const_2017_USD,cell_GDPC_current_USD,cell_GDPC_const_2017_PPP,cell_GDPC_current_PPP,is_cell_censored,method,cell_size,national_population,longitude,latitude,GID_1,NAME_1
KEN,121822.0,30456,2,2012,0.0002547074068077,0.000241880415098,0.0007312591504584,0.000538258644217,133.0,1.91509328426888e-06,1.81864973757908e-06,5.49818910119117e-06,4.04705747531581e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,40400000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2013,0.0002151390027288,0.0002067810846372,0.0005931935955604,0.000472537154728,128.0,1.68077345881904e-06,1.61547722372823e-06,4.63432496531606e-06,3.69169652131299e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,41400000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2014,0.0002576628730802,0.0002511749590099,0.0006826788092589,0.0005758423265249,107.0,2.40806423439531e-06,2.3474295234573e-06,6.38017578746718e-06,5.38170398621465e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,42400000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2015,0.0002554416931346,0.0002488259370534,0.0006899670226083,0.0006235251966482,105.0,2.43277802985383e-06,2.36977082908064e-06,6.57111450103159e-06,5.93833520617339e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,43300000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2016,0.0002541251102556,0.0002497373385677,0.0006787865408655,0.0006436237525834,106.0,2.39740670052489e-06,2.35601262799784e-06,6.40364661193951e-06,6.07192219418349e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,44300000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2017,0.0001952957946678,0.0001952957946678,0.0005030033984212,0.000503003720082,95.0,2.05574520702969e-06,2.05574520702969e-06,5.29477261496038e-06,5.29477600086416e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,45400000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2018,0.0002257259178784,0.0002302729147853,0.0005570851855535,0.0005698474878026,97.0,2.32707131833406e-06,2.37394757510626e-06,5.74314624282015e-06,5.87471636909991e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,46400000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2019,0.0001990417301952,0.0002060583091733,0.0004816046509637,0.00050090645532,74.0,2.689753110746e-06,2.78457174558525e-06,6.50817095896949e-06,6.76900615297374e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,47600000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2020,5.82532701855212e-05,6.09354351437035e-05,0.0001412083625406,0.0001488084967516,26.0,2.24051039175082e-06,2.34367058245014e-06,5.43109086694881e-06,5.72340372121767e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,48797000.0,35.0,5.0,KEN.43_1,Turkana
KEN,121822.0,30456,2,2021,6.52598361900351e-05,7.13632741070884e-05,0.0001634138585101,0.0001801023932359,32.0,2.0393698809386e-06,2.23010231584652e-06,5.10668307844179e-06,5.62819978862322e-06,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,49747000.0,35.0,5.0,KEN.43_1,Turkana
KEN,123256.0,30814,4,2012,7.2872285668386e-05,6.9202458332568e-05,0.0002092146686179,0.0001539968475061,3.0,2.4290761889462e-05,2.3067486110856e-05,6.97382228726559e-05,5.13322825020472e-05,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,40400000.0,33.5,4.0,KEN.43_1,Turkana
KEN,123256.0,30814,4,2013,0.0001539212713353,0.000147941596046,0.0004244005560058,0.0003380768651262,3.0,5.13070904451251e-05,4.93138653486958e-05,0.0001414668520019,0.0001126922883754,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,41400000.0,33.5,4.0,KEN.43_1,Turkana
KEN,123256.0,30814,4,2014,0.0001296787989492,0.0001264135054504,0.0003435844947098,0.000289814905792,2.0,6.4839399474609e-05,6.32067527252483e-05,0.0001717922473549,0.000144907452896,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,42400000.0,33.5,4.0,KEN.43_1,Turkana
KEN,123256.0,30814,4,2015,0.0001851020740277,0.0001803080634773,0.0004999744768689,0.0004518283827976,2.0,9.25510370138584e-05,9.01540317386793e-05,0.0002499872384344,0.0002259141913988,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,43300000.0,33.5,4.0,KEN.43_1,Turkana
KEN,123256.0,30814,4,2016,0.0001825909139869,0.0001794382651123,0.0004877135312367,0.0004624487880387,2.0,9.12954569934814e-05,8.97191325561839e-05,0.0002438567656183,0.0002312243940193,0,post-adjust zero GDP for pop density = 0,0.5-deg by 0.5-deg,44300000.0,33.5,4.0,KEN.43_1,Turkana
